State,County,Allocation,*
Idaho,Jerome County,"$4,741,745.00 ",
Idaho,Kootenai County,"$32,184,700.00 ",
Idaho,Latah County,"$7,790,509.00 ",
Idaho,Lemhi County,"$1,559,151.00 ",
Idaho,Lewis County,"$745,487.00 ",
Idaho,Lincoln County,"$1,042,283.00 ",
Idaho,Madison County,"$7,751,467.00 ",
Idaho,Minidoka County,"$4,086,579.00 ",
Idaho,Nez Perce County,"$7,848,780.00 ",
Idaho,Oneida County,"$880,094.00 ",
Idaho,Owyhee County,"$2,296,479.00 ",
Idaho,Payette County,"$4,652,201.00 ",
Idaho,Power County,"$1,491,944.00 ",
Idaho,Shoshone County,"$2,502,177.00 ",
Idaho,Teton County,"$2,358,441.00 ",
Idaho,Twin Falls County,"$16,875,033.00 ",
Idaho,Valley County,"$2,212,762.00 ",
Idaho,Washington County,"$1,980,065.00 ",
Illinois,Adams County,"$12,709,982.00 ",
Illinois,Alexander County,"$1,119,007.00 ",
Illinois,Bond County,"$3,190,558.00 ",
Illinois,Boone County,"$10,400,294.00 ",
Illinois,Brown County,"$1,277,699.00 ",
Illinois,Bureau County,"$6,337,607.00 ",
Illinois,Calhoun County,"$920,495.00 ",
Illinois,Carroll County,"$2,778,579.00 ",
Illinois,Cass County,"$2,359,412.00 ",
Illinois,Champaign County,"$40,729,630.00 ",
Illinois,Christian County,"$6,274,673.00 ",
Illinois,Clark County,"$2,999,233.00 ",
Illinois,Clay County,"$2,560,837.00 ",
Illinois,Clinton County,"$7,295,978.00 ",
Illinois,Coles County,"$9,832,536.00 ",
Illinois,Cook County,"$1,000,372,385.00 ",
Illinois,Crawford County,"$3,625,846.00 ",
Illinois,Cumberland County,"$2,091,169.00 ",
Illinois,De Witt County,"$3,037,498.00 ",
Illinois,DeKalb County,"$20,375,013.00 ",
Illinois,Douglas County,"$3,780,848.00 ",
Illinois,DuPage County,"$179,266,585.00 ",
Illinois,Edgar County,"$3,333,323.00 ",
Illinois,Edwards County,"$1,242,154.00 ",
Illinois,Effingham County,"$6,605,655.00 ",
Illinois,Fayette County,"$4,144,268.00 ",
Illinois,Ford County,"$2,517,522.00 ",
Illinois,Franklin County,"$7,472,152.00 ",
Illinois,Fulton County,"$6,670,142.00 ",
Illinois,Gallatin County,"$937,782.00 ",
Illinois,Greene County,"$2,519,076.00 ",
Illinois,Grundy County,"$9,916,641.00 ",
Illinois,Hamilton County,"$1,576,438.00 ",
Illinois,Hancock County,"$3,439,571.00 ",
Illinois,Hardin County,"$742,184.00 ",
Illinois,Henderson County,"$1,290,908.00 ",
Illinois,Henry County,"$9,500,777.00 ",
Illinois,Iroquois County,"$5,266,577.00 ",
Illinois,Jackson County,"$11,023,022.00 ",
Illinois,Jasper County,"$1,866,630.00 ",
Illinois,Jefferson County,"$7,319,675.00 ",
Illinois,Jersey County,"$4,229,150.00 ",
Illinois,Jo Daviess County,"$4,124,650.00 ",
Illinois,Johnson County,"$2,411,857.00 ",
Illinois,Kane County,"$103,413,041.00 ",
Illinois,Kankakee County,"$21,339,406.00 ",
Illinois,Kendall County,"$25,054,795.00 ",
Illinois,Knox County,"$9,653,448.00 ",
Illinois,LaSalle County,"$21,107,679.00 ",
Illinois,Lake County,"$135,293,758.00 ",
Illinois,Lawrence County,"$3,045,268.00 ",
Illinois,Lee County,"$6,622,748.00 ",
Illinois,Livingston County,"$6,924,206.00 ",
Illinois,Logan County,"$5,558,711.00 ",
Illinois,Macon County,"$20,202,529.00 ",
Illinois,Macoupin County,"$8,726,349.00 ",
Illinois,Madison County,"$51,078,063.00 ",
Illinois,Marion County,"$7,226,635.00 ",
Illinois,Marshall County,"$2,221,697.00 ",
Illinois,Mason County,"$2,594,829.00 ",
Illinois,Massac County,"$2,675,050.00 ",
Illinois,McDonough County,"$5,765,381.00 ",
Illinois,McHenry County,"$59,781,491.00 ",
Illinois,McLean County,"$33,315,167.00 ",
Illinois,Menard County,"$2,368,930.00 ",
Illinois,Mercer County,"$2,998,456.00 ",
Illinois,Monroe County,"$6,727,831.00 ",
Illinois,Montgomery County,"$5,519,086.00 ",
Illinois,Morgan County,"$6,537,672.00 ",
Illinois,Moultrie County,"$2,816,649.00 ",
Illinois,Ogle County,"$9,836,809.00 ",
Illinois,Peoria County,"$34,803,420.00 ",
Illinois,Perry County,"$4,062,688.00 ",
Illinois,Piatt County,"$3,174,630.00 ",
Illinois,Pike County,"$3,022,542.00 ",
Illinois,Pope County,"$811,333.00 ",
Illinois,Pulaski County,"$1,036,261.00 ",
Illinois,Putnam County,"$1,114,733.00 ",
Illinois,Randolph County,"$6,173,281.00 ",
Illinois,Richland County,"$3,013,218.00 ",
Illinois,Rock Island County,"$27,558,333.00 ",
Illinois,Saline County,"$4,562,851.00 ",
Illinois,Sangamon County,"$37,812,754.00 ",
Illinois,Schuyler County,"$1,314,605.00 ",
Illinois,Scott County,"$961,674.00 ",
Illinois,Shelby County,"$4,202,151.00 ",
Illinois,St. Clair County,"$50,440,961.00 ",
Illinois,Stark County,"$1,037,621.00 ",
Illinois,Stephenson County,"$8,643,215.00 ",
Illinois,Tazewell County,"$25,601,188.00 ",
Illinois,Union County,"$3,234,650.00 ",
Illinois,Vermilion County,"$14,715,103.00 ",
Illinois,Wabash County,"$2,237,625.00 ",
Illinois,Warren County,"$3,271,750.00 ",
Illinois,Washington County,"$2,697,387.00 ",
Illinois,Wayne County,"$3,149,574.00 ",
Illinois,White County,"$2,629,404.00 ",
Illinois,Whiteside County,"$10,717,097.00 ",
Illinois,Will County,"$134,168,730.00 ",
Illinois,Williamson County,"$12,935,687.00 ",
Illinois,Winnebago County,"$54,886,298.00 ",
Illinois,Woodford County,"$7,470,210.00 ",
Indiana,Adams County,"$6,949,263.00 ",
Indiana,Allen County,"$73,674,384.00 ",
Indiana,Bartholomew County,"$16,273,089.00 ",
Indiana,Benton County,"$1,699,196.00 ",
Indiana,Blackford County,"$2,283,854.00 ",
Indiana,Boone County,"$13,177,707.00 ",
Indiana,Brown County,"$2,931,444.00 ",
Indiana,Carroll County,"$3,934,685.00 ",
Indiana,Cass County,"$7,320,646.00 ",
Indiana,Clark County,"$22,978,777.00 ",
Indiana,Clay County,"$5,093,899.00 ",
Indiana,Clinton County,"$6,293,126.00 ",
Indiana,Crawford County,"$2,054,458.00 ",
Indiana,Daviess County,"$6,478,041.00 ",
Indiana,DeKalb County,"$8,444,509.00 ",
Indiana,Dearborn County,"$9,606,637.00 ",
Indiana,Decatur County,"$5,158,774.00 ",
Indiana,Delaware County,"$22,169,386.00 ",
Indiana,Dubois County,"$8,300,967.00 ",
Indiana,Elkhart County,"$40,079,320.00 ",
Indiana,Fayette County,"$4,487,293.00 ",
Indiana,Floyd County,"$15,251,978.00 ",
Indiana,Fountain County,"$3,175,019.00 ",
Indiana,Franklin County,"$4,420,475.00 ",
Indiana,Fulton County,"$3,879,715.00 ",
Indiana,Gibson County,"$6,537,866.00 ",
Indiana,Grant County,"$12,774,857.00 ",
Indiana,Greene County,"$6,200,474.00 ",
Indiana,Hamilton County,"$65,654,674.00 ",
Indiana,Hancock County,"$15,183,218.00 ",
Indiana,Harrison County,"$7,869,564.00 ",
Indiana,Hendricks County,"$33,080,915.00 ",
Indiana,Henry County,"$9,317,999.00 ",
Indiana,Howard County,"$16,033,204.00 ",
Indiana,Huntington County,"$7,093,582.00 ",
Indiana,Jackson County,"$8,591,353.00 ",
Indiana,Jasper County,"$6,519,025.00 ",
Indiana,Jay County,"$3,969,453.00 ",
Indiana,Jefferson County,"$6,275,450.00 ",
Indiana,Jennings County,"$5,387,199.00 ",
Indiana,Johnson County,"$30,722,086.00 ",
Indiana,Knox County,"$7,107,956.00 ",
Indiana,Kosciusko County,"$15,433,397.00 ",
Indiana,LaGrange County,"$7,694,555.00 ",
Indiana,LaPorte County,"$21,344,456.00 ",
Indiana,Lake County,"$94,301,324.00 ",
Indiana,Lawrence County,"$8,812,591.00 ",
Indiana,Madison County,"$25,167,259.00 ",
Indiana,Marion County,"$187,358,746.00 ",
Indiana,Marshall County,"$8,985,074.00 ",
Indiana,Martin County,"$1,991,914.00 ",
Indiana,Miami County,"$6,898,567.00 ",
Indiana,Monroe County,"$28,830,982.00 ",
Indiana,Montgomery County,"$7,446,707.00 ",
Indiana,Morgan County,"$13,691,662.00 ",
Indiana,Newton County,"$2,716,228.00 ",
Indiana,Noble County,"$9,273,712.00 ",
Indiana,Ohio County,"$1,141,150.00 ",
Indiana,Orange County,"$3,816,005.00 ",
Indiana,Owen County,"$4,039,962.00 ",
Indiana,Parke County,"$3,289,814.00 ",
Indiana,Perry County,"$3,723,354.00 ",
Indiana,Pike County,"$2,406,418.00 ",
Indiana,Porter County,"$33,096,066.00 ",
Indiana,Posey County,"$4,938,897.00 ",
Indiana,Pulaski County,"$2,399,425.00 ",
Indiana,Putnam County,"$7,298,697.00 ",
Indiana,Randolph County,"$4,790,887.00 ",
Indiana,Ripley County,"$5,501,605.00 ",
Indiana,Rush County,"$3,220,665.00 ",
Indiana,Scott County,"$4,637,050.00 ",
Indiana,Shelby County,"$8,688,084.00 ",
Indiana,Spencer County,"$3,938,570.00 ",
Indiana,St. Joseph County,"$52,799,014.00 ",
Indiana,Starke County,"$4,466,509.00 ",
Indiana,Steuben County,"$6,719,479.00 ",
Indiana,Sullivan County,"$4,014,711.00 ",
Indiana,Switzerland County,"$2,088,256.00 ",
Indiana,Tippecanoe County,"$38,018,646.00 ",
Indiana,Tipton County,"$2,942,321.00 ",
Indiana,Union County,"$1,370,157.00 ",
Indiana,Vanderburgh County,"$35,244,730.00 ",
Indiana,Vermillion County,"$3,010,305.00 ",
Indiana,Vigo County,"$20,790,877.00 ",
Indiana,Wabash County,"$6,020,610.00 ",
Indiana,Warren County,"$1,605,379.00 ",
Indiana,Warrick County,"$12,236,623.00 ",
Indiana,Washington County,"$5,445,664.00 ",
Indiana,Wayne County,"$12,797,195.00 ",
Indiana,Wells County,"$5,496,166.00 ",
Indiana,White County,"$4,681,531.00 ",
Indiana,Whitley County,"$6,597,109.00 ",
Iowa,Adair County,"$1,389,192.00 ",
Iowa,Adams County,"$699,646.00 ",
Iowa,Allamakee County,"$2,658,539.00 ",
Iowa,Appanoose County,"$2,413,605.00 ",
Iowa,Audubon County,"$1,067,534.00 ",
Iowa,Benton County,"$4,981,241.00 ",
Iowa,Black Hawk County,"$25,489,501.00 ",
Iowa,Boone County,"$5,095,647.00 ",
Iowa,Bremer County,"$4,868,000.00 ",
Iowa,Buchanan County,"$4,112,996.00 ",
Iowa,Buena Vista County,"$3,810,955.00 ",
Iowa,Butler County,"$2,804,606.00 ",
Iowa,Calhoun County,"$1,877,896.00 ",
Iowa,Carroll County,"$3,916,815.00 ",
Iowa,Cass County,"$2,493,243.00 ",
Iowa,Cedar County,"$3,618,076.00 ",
Iowa,Cerro Gordo County,"$8,245,415.00 ",
Iowa,Cherokee County,"$2,182,267.00 ",
Iowa,Chickasaw County,"$2,317,845.00 ",
Iowa,Clarke County,"$1,824,869.00 ",
Iowa,Clay County,"$3,110,920.00 ",
Iowa,Clayton County,"$3,408,688.00 ",
Iowa,Clinton County,"$9,018,289.00 ",
Iowa,Crawford County,"$3,267,088.00 ",
Iowa,Dallas County,"$18,152,150.00 ",
Iowa,Davis County,"$1,748,144.00 ",
Iowa,Decatur County,"$1,528,655.00 ",
Iowa,Delaware County,"$3,304,187.00 ",
Iowa,Des Moines County,"$7,568,883.00 ",
Iowa,Dickinson County,"$3,352,164.00 ",
Iowa,Dubuque County,"$18,901,521.00 ",
Iowa,Emmet County,"$1,788,546.00 ",
Iowa,Fayette County,"$3,816,782.00 ",
Iowa,Floyd County,"$3,038,275.00 ",
Iowa,Franklin County,"$1,955,979.00 ",
Iowa,Fremont County,"$1,351,898.00 ",
Iowa,Greene County,"$1,726,390.00 ",
Iowa,Grundy County,"$2,375,923.00 ",
Iowa,Guthrie County,"$2,076,213.00 ",
Iowa,Hamilton County,"$2,869,482.00 ",
Iowa,Hancock County,"$2,064,753.00 ",
Iowa,Hardin County,"$3,272,138.00 ",
Iowa,Harrison County,"$2,728,854.00 ",
Iowa,Henry County,"$3,875,831.00 ",
Iowa,Howard County,"$1,778,834.00 ",
Iowa,Humboldt County,"$1,856,529.00 ",
Iowa,Ida County,"$1,332,475.00 ",
Iowa,Iowa County,"$3,143,552.00 ",
Iowa,Jackson County,"$3,775,798.00 ",
Iowa,Jasper County,"$7,222,750.00 ",
Iowa,Jefferson County,"$3,553,589.00 ",
Iowa,Johnson County,"$29,357,173.00 ",
Iowa,Jones County,"$4,017,042.00 ",
Iowa,Keokuk County,"$1,990,165.00 ",
Iowa,Kossuth County,"$2,877,252.00 ",
Iowa,Lee County,"$6,537,478.00 ",
Iowa,Linn County,"$44,034,983.00 ",
Iowa,Louisa County,"$2,143,419.00 ",
Iowa,Lucas County,"$1,670,449.00 ",
Iowa,Lyon County,"$2,283,271.00 ",
Iowa,Madison County,"$3,173,465.00 ",
Iowa,Mahaska County,"$4,291,695.00 ",
Iowa,Marion County,"$6,459,005.00 ",
Iowa,Marshall County,"$7,646,967.00 ",
Iowa,Mills County,"$2,934,746.00 ",
Iowa,Mitchell County,"$2,056,206.00 ",
Iowa,Monona County,"$1,673,363.00 ",
Iowa,Monroe County,"$1,496,994.00 ",
Iowa,Montgomery County,"$1,926,261.00 ",
Iowa,Muscatine County,"$8,286,982.00 ",
Iowa,O'Brien County,"$2,671,359.00 ",
Iowa,Osceola County,"$1,157,272.00 ",
Iowa,Page County,"$2,934,358.00 ",
Iowa,Palo Alto County,"$1,726,001.00 ",
Iowa,Plymouth County,"$4,890,337.00 ",
Iowa,Pocahontas County,"$1,285,663.00 ",
Iowa,Polk County,"$95,208,028.00 ",
Iowa,Pottawattamie County,"$18,104,173.00 ",
Iowa,Poweshiek County,"$3,594,185.00 ",
Iowa,Ringgold County,"$950,602.00 ",
Iowa,Sac County,"$1,888,190.00 ",
Iowa,Scott County,"$33,592,150.00 ",
Iowa,Shelby County,"$2,224,805.00 ",
Iowa,Sioux County,"$6,770,175.00 ",
Iowa,Story County,"$18,863,839.00 ",
Iowa,Tama County,"$3,273,692.00 ",
Iowa,Taylor County,"$1,188,932.00 ",
Iowa,Union County,"$2,377,671.00 ",
Iowa,Van Buren County,"$1,368,214.00 ",
Iowa,Wapello County,"$6,792,318.00 ",
Iowa,Warren County,"$9,996,667.00 ",
Iowa,Washington County,"$4,266,444.00 ",
Iowa,Wayne County,"$1,251,089.00 ",
Iowa,Webster County,"$6,973,931.00 ",
Iowa,Winnebago County,"$2,011,143.00 ",
Iowa,Winneshiek County,"$3,883,017.00 ",
Iowa,Woodbury County,"$20,027,326.00 ",
Iowa,Worth County,"$1,433,673.00 ",
Iowa,Wright County,"$2,440,021.00 ",
Kansas,Allen County,"$2,402,533.00 ",
Kansas,Anderson County,"$1,526,324.00 ",
Kansas,Atchison County,"$3,121,992.00 ",
Kansas,Barber County,"$859,893.00 ",
Kansas,Barton County,"$5,007,269.00 ",
Kansas,Bourbon County,"$2,823,059.00 ",
Kansas,Brown County,"$1,857,695.00 ",
Kansas,Butler County,"$12,996,677.00 ",
Kansas,Chase County,"$514,343.00 ",
Kansas,Chautauqua County,"$631,274.00 ",
Kansas,Cherokee County,"$3,872,917.00 ",
Kansas,Cheyenne County,"$516,091.00 ",
Kansas,Clark County,"$387,311.00 ",
Kansas,Clay County,"$1,554,295.00 ",
Kansas,Cloud County,"$1,706,578.00 ",
Kansas,Coffey County,"$1,588,675.00 ",
Kansas,Comanche County,"$330,205.00 ",
Kansas,Cowley County,"$6,780,470.00 ",
Kansas,Crawford County,"$7,539,941.00 ",
Kansas,Decatur County,"$549,112.00 ",
Kansas,Dickinson County,"$3,586,804.00 ",
Kansas,Doniphan County,"$1,476,211.00 ",
Kansas,Douglas County,"$23,747,378.00 ",
Kansas,Edwards County,"$543,479.00 ",
Kansas,Elk County,"$491,423.00 ",
Kansas,Ellis County,"$5,546,086.00 ",
Kansas,Ellsworth County,"$1,185,242.00 ",
Kansas,Finney County,"$7,083,287.00 ",
Kansas,Ford County,"$6,530,097.00 ",
Kansas,Franklin County,"$4,961,623.00 ",
Kansas,Geary County,"$6,151,526.00 ",
Kansas,Gove County,"$512,012.00 ",
Kansas,Graham County,"$482,099.00 ",
Kansas,Grant County,"$1,388,804.00 ",
Kansas,Gray County,"$1,163,099.00 ",
Kansas,Greeley County,"$239,302.00 ",
Kansas,Greenwood County,"$1,161,933.00 ",
Kansas,Hamilton County,"$493,171.00 ",
Kansas,Harper County,"$1,055,879.00 ",
Kansas,Harvey County,"$6,687,430.00 ",
Kansas,Haskell County,"$770,737.00 ",
Kansas,Hodgeman County,"$348,463.00 ",
Kansas,Jackson County,"$2,558,312.00 ",
Kansas,Jefferson County,"$3,698,880.00 ",
Kansas,Jewell County,"$559,212.00 ",
Kansas,Johnson County,"$117,009,332.00 ",
Kansas,Kearny County,"$745,487.00 ",
Kansas,Kingman County,"$1,389,192.00 ",
Kansas,Kiowa County,"$480,740.00 ",
Kansas,Labette County,"$3,810,567.00 ",
Kansas,Lane County,"$298,156.00 ",
Kansas,Leavenworth County,"$15,880,533.00 ",
Kansas,Lincoln County,"$575,334.00 ",
Kansas,Linn County,"$1,884,694.00 ",
Kansas,Logan County,"$542,702.00 ",
Kansas,Lyon County,"$6,447,740.00 ",
Kansas,Marion County,"$2,308,328.00 ",
Kansas,Marshall County,"$1,885,471.00 ",
Kansas,McPherson County,"$5,543,949.00 ",
Kansas,Meade County,"$783,363.00 ",
Kansas,Miami County,"$6,650,136.00 ",
Kansas,Mitchell County,"$1,161,351.00 ",
Kansas,Montgomery County,"$6,182,410.00 ",
Kansas,Morris County,"$1,091,619.00 ",
Kansas,Morton County,"$502,494.00 ",
Kansas,Nemaha County,"$1,987,252.00 ",
Kansas,Neosho County,"$3,109,172.00 ",
Kansas,Ness County,"$534,155.00 ",
Kansas,Norton County,"$1,041,311.00 ",
Kansas,Osage County,"$3,097,906.00 ",
Kansas,Osborne County,"$664,489.00 ",
Kansas,Ottawa County,"$1,107,935.00 ",
Kansas,Pawnee County,"$1,245,844.00 ",
Kansas,Phillips County,"$1,016,643.00 ",
Kansas,Pottawatomie County,"$4,736,112.00 ",
Kansas,Pratt County,"$1,780,000.00 ",
Kansas,Rawlins County,"$491,423.00 ",
Kansas,Reno County,"$12,042,385.00 ",
Kansas,Republic County,"$900,489.00 ",
Kansas,Rice County,"$1,852,450.00 ",
Kansas,Riley County,"$14,418,696.00 ",
Kansas,Rooks County,"$955,652.00 ",
Kansas,Rush County,"$589,707.00 ",
Kansas,Russell County,"$1,331,698.00 ",
Kansas,Saline County,"$10,532,376.00 ",
Kansas,Scott County,"$936,811.00 ",
Kansas,Sedgwick County,"$100,235,109.00 ",
Kansas,Seward County,"$4,162,138.00 ",
Kansas,Shawnee County,"$34,355,895.00 ",
Kansas,Sheridan County,"$489,675.00 ",
Kansas,Sherman County,"$1,149,308.00 ",
Kansas,Smith County,"$695,956.00 ",
Kansas,Stafford County,"$807,254.00 ",
Kansas,Stanton County,"$389,642.00 ",
Kansas,Stevens County,"$1,065,397.00 ",
Kansas,Sumner County,"$4,435,625.00 ",
Kansas,Thomas County,"$1,510,591.00 ",
Kansas,Trego County,"$544,450.00 ",
Kansas,Wabaunsee County,"$1,346,265.00 ",
Kansas,Wallace County,"$294,854.00 ",
Kansas,Washington County,"$1,050,052.00 ",
Kansas,Wichita County,"$411,591.00 ",
Kansas,Wilson County,"$1,655,881.00 ",
Kansas,Woodson County,"$609,520.00 ",
Kansas,Wyandotte County,"$32,132,644.00 ",
Kentucky,Adair County,"$3,729,763.00 ",
Kentucky,Allen County,"$4,140,189.00 ",
Kentucky,Anderson County,"$4,418,338.00 ",
Kentucky,Ballard County,"$1,532,152.00 ",
Kentucky,Barren County,"$8,594,850.00 ",
Kentucky,Bath County,"$2,427,978.00 ",
Kentucky,Bell County,"$5,056,411.00 ",
Kentucky,Boone County,"$25,946,543.00 ",
Kentucky,Bourbon County,"$3,843,587.00 ",
Kentucky,Boyd County,"$9,074,424.00 ",
Kentucky,Boyle County,"$5,838,803.00 ",
Kentucky,Bracken County,"$1,612,760.00 ",
Kentucky,Breathitt County,"$2,453,229.00 ",
Kentucky,Breckinridge County,"$3,977,417.00 ",
Kentucky,Bullitt County,"$15,864,606.00 ",
Kentucky,Butler County,"$2,501,595.00 ",
Kentucky,Caldwell County,"$2,475,955.00 ",
Kentucky,Calloway County,"$7,575,487.00 ",
Kentucky,Campbell County,"$18,177,595.00 ",
Kentucky,Carlisle County,"$924,574.00 ",
Kentucky,Carroll County,"$2,064,947.00 ",
Kentucky,Carter County,"$5,205,003.00 ",
Kentucky,Casey County,"$3,138,696.00 ",
Kentucky,Christian County,"$13,686,223.00 ",
Kentucky,Clark County,"$7,043,663.00 ",
Kentucky,Clay County,"$3,865,536.00 ",
Kentucky,Clinton County,"$1,984,727.00 ",
Kentucky,Crittenden County,"$1,710,462.00 ",
Kentucky,Cumberland County,"$1,284,692.00 ",
Kentucky,Daviess County,"$19,717,322.00 ",
Kentucky,Edmonson County,"$2,359,995.00 ",
Kentucky,Elliott County,"$1,460,089.00 ",
Kentucky,Estill County,"$2,739,925.00 ",
Kentucky,Fayette County,"$62,768,488.00 ",
Kentucky,Fleming County,"$2,832,188.00 ",
Kentucky,Floyd County,"$6,912,746.00 ",
Kentucky,Franklin County,"$9,904,404.00 ",
Kentucky,Fulton County,"$1,159,408.00 ",
Kentucky,Gallatin County,"$1,722,699.00 ",
Kentucky,Garrard County,"$3,431,413.00 ",
Kentucky,Grant County,"$4,869,359.00 ",
Kentucky,Graves County,"$7,238,484.00 ",
Kentucky,Grayson County,"$5,133,135.00 ",
Kentucky,Green County,"$2,125,161.00 ",
Kentucky,Greenup County,"$6,817,375.00 ",
Kentucky,Hancock County,"$1,694,146.00 ",
Kentucky,Hardin County,"$21,552,291.00 ",
Kentucky,Harlan County,"$5,052,138.00 ",
Kentucky,Harrison County,"$3,668,384.00 ",
Kentucky,Hart County,"$3,697,326.00 ",
Kentucky,Henderson County,"$8,781,513.00 ",
Kentucky,Henry County,"$3,132,286.00 ",
Kentucky,Hickman County,"$850,764.00 ",
Kentucky,Hopkins County,"$8,679,732.00 ",
Kentucky,Jackson County,"$2,589,002.00 ",
Kentucky,Jefferson County,"$148,933,559.00 ",
Kentucky,Jessamine County,"$10,511,204.00 ",
Kentucky,Johnson County,"$4,309,759.00 ",
Kentucky,Kenton County,"$32,437,404.00 ",
Kentucky,Knott County,"$2,875,892.00 ",
Kentucky,Knox County,"$6,049,551.00 ",
Kentucky,Larue County,"$2,796,643.00 ",
Kentucky,Laurel County,"$11,812,212.00 ",
Kentucky,Lawrence County,"$2,975,148.00 ",
Kentucky,Lee County,"$1,437,946.00 ",
Kentucky,Leslie County,"$1,918,491.00 ",
Kentucky,Letcher County,"$4,186,418.00 ",
Kentucky,Lewis County,"$2,578,513.00 ",
Kentucky,Lincoln County,"$4,768,355.00 ",
Kentucky,Livingston County,"$1,785,827.00 ",
Kentucky,Logan County,"$5,264,246.00 ",
Kentucky,Lyon County,"$1,594,696.00 ",
Kentucky,Madison County,"$18,061,635.00 ",
Kentucky,Magoffin County,"$2,362,132.00 ",
Kentucky,Marion County,"$3,743,554.00 ",
Kentucky,Marshall County,"$6,040,810.00 ",
Kentucky,Martin County,"$2,174,498.00 ",
Kentucky,Mason County,"$3,315,647.00 ",
Kentucky,McCracken County,"$12,706,680.00 ",
Kentucky,McCreary County,"$3,346,920.00 ",
Kentucky,McLean County,"$1,788,352.00 ",
Kentucky,Meade County,"$5,549,776.00 ",
Kentucky,Menifee County,"$1,260,412.00 ",
Kentucky,Mercer County,"$4,260,228.00 ",
Kentucky,Metcalfe County,"$1,956,174.00 ",
Kentucky,Monroe County,"$2,068,638.00 ",
Kentucky,Montgomery County,"$5,469,167.00 ",
Kentucky,Morgan County,"$2,585,117.00 ",
Kentucky,Muhlenberg County,"$5,947,965.00 ",
Kentucky,Nelson County,"$8,980,218.00 ",
Kentucky,Nicholas County,"$1,411,918.00 ",
Kentucky,Ohio County,"$4,660,553.00 ",
Kentucky,Oldham County,"$12,974,923.00 ",
Kentucky,Owen County,"$2,117,391.00 ",
Kentucky,Owsley County,"$857,562.00 ",
Kentucky,Pendleton County,"$2,833,936.00 ",
Kentucky,Perry County,"$5,003,190.00 ",
Kentucky,Pike County,"$11,241,735.00 ",
Kentucky,Powell County,"$2,400,591.00 ",
Kentucky,Pulaski County,"$12,621,409.00 ",
Kentucky,Robertson County,"$409,454.00 ",
Kentucky,Rockcastle County,"$3,242,808.00 ",
Kentucky,Rowan County,"$4,751,068.00 ",
Kentucky,Russell County,"$3,481,333.00 ",
Kentucky,Scott County,"$11,072,359.00 ",
Kentucky,Shelby County,"$9,522,337.00 ",
Kentucky,Simpson County,"$3,607,393.00 ",
Kentucky,Spencer County,"$3,758,705.00 ",
Kentucky,Taylor County,"$5,005,326.00 ",
Kentucky,Todd County,"$2,387,965.00 ",
Kentucky,Trigg County,"$2,845,785.00 ",
Kentucky,Trimble County,"$1,645,392.00 ",
Kentucky,Union County,"$2,793,341.00 ",
Kentucky,Warren County,"$25,813,490.00 ",
Kentucky,Washington County,"$2,349,312.00 ",
Kentucky,Wayne County,"$3,949,447.00 ",
Kentucky,Webster County,"$2,513,832.00 ",
Kentucky,Whitley County,"$7,043,857.00 ",
Kentucky,Wolfe County,"$1,390,163.00 ",
Kentucky,Woodford County,"$5,192,766.00 ",
Louisiana,Acadia Parish,"$12,051,514.00 ",
Louisiana,Allen Parish,"$4,977,744.00 ",
Louisiana,Ascension Parish,"$24,591,343.00 ",
Louisiana,Assumption Parish,"$4,252,070.00 ",
Louisiana,Avoyelles Parish,"$7,797,501.00 ",
Louisiana,Beauregard Parish,"$7,283,353.00 ",
Louisiana,Bienville Parish,"$2,571,909.00 ",
Louisiana,Bossier Parish,"$24,675,836.00 ",
Louisiana,Caddo Parish,"$46,656,811.00 ",
Louisiana,Calcasieu Parish,"$39,515,058.00 ",
Louisiana,Caldwell Parish,"$1,926,455.00 ",
Louisiana,Cameron Parish,"$1,354,424.00 ",
Louisiana,Catahoula Parish,"$1,844,098.00 ",
Louisiana,Claiborne Parish,"$3,043,714.00 ",
Louisiana,Concordia Parish,"$3,740,835.00 ",
Louisiana,De Soto Parish,"$5,334,366.00 ",
Louisiana,East Baton Rouge Parish,"$85,476,302.00 ",
Louisiana,East Carroll Parish,"$1,332,669.00 ",
Louisiana,East Feliciana Parish,"$3,716,749.00 ",
Louisiana,Evangeline Parish,"$6,486,587.00 ",
Louisiana,Franklin Parish,"$3,887,679.00 ",
Louisiana,Grant Parish,"$4,348,801.00 ",
Louisiana,Iberia Parish,"$13,563,659.00 ",
Louisiana,Iberville Parish,"$6,314,881.00 ",
Louisiana,Jackson Parish,"$3,058,087.00 ",
Louisiana,Jefferson Davis Parish,"$6,092,866.00 ",
Louisiana,Jefferson Parish,"$84,006,695.00 ",
Louisiana,LaSalle Parish,"$2,892,596.00 ",
Louisiana,Lafayette Parish,"$47,469,893.00 ",
Louisiana,Lafourche Parish,"$18,960,375.00 ",
Louisiana,Lincoln Parish,"$9,079,086.00 ",
Louisiana,Livingston Parish,"$27,346,613.00 ",
Louisiana,Madison Parish,"$2,127,103.00 ",
Louisiana,Morehouse Parish,"$4,831,483.00 ",
Louisiana,Natchitoches Parish,"$7,411,744.00 ",
Louisiana,Orleans Parish,"$75,780,898.00 ",
Louisiana,Ouachita Parish,"$29,772,649.00 ",
Louisiana,Plaquemines Parish,"$4,505,745.00 ",
Louisiana,Pointe Coupee Parish,"$4,220,798.00 ",
Louisiana,Rapides Parish,"$25,182,604.00 ",
